,Unnamed: 0,address,Total Score,UST_DEPOSITED
203,23611,terra10zwz3upgay9l5kyf7pvgtgpl24nf9c0p9j8t6z,8,8.0
204,23803,terra12057tjrjsjss9xwqr0tz4sul6rrp9fjsplwqjc,2,95.0
205,23934,terra1209j4jjt6976wk5ad6wd6dvtl28ggm4y058l82,7,20.0
206,23957,terra120akx7zuqn2uhy9naknct08cajkjr2e2ls5kng,30,9.0
207,24272,terra120sqzlx0e4zqkyr4fmey3dk7jaxzxjzh2ewzus,29,32.0
208,24306,terra120uaed73tp8fgy3dnuzgdzq88p3tw7fc3xph02,25,145.0
209,24857,terra122m3jsqxd8ulswmj95948awd24zg73z5k4reuf,9,60.0
210,24871,terra122mr2q92860v3tqdamrsgfz7r6w4azuwtg9rfp,25,72.0
211,24952,terra122ry8yvga3mpdfwzn222ej3pns2s7mt6xhxy3a,7,8.0
212,25129,terra122zzy804hsxwechr780ec8l2qvm5nm6gxf3hyr,24,224.0
213,25261,terra12364v885s0kze5xjurhegnmcef45fmet5e76nx,7,309.0
214,25289,terra1237a8r7qs8ewqwwyycn59tdq9zz2r0s3rlr5r7,30,475.37999999999994
215,25516,terra123hc3m5hdmplk88hzgq6ppl66t6czmcqjknfun,27,8.0
216,25630,terra123n75aa2a9acvqsvglfzjjd7m3s2vedu8qwxvd,13,128.0
217,25740,terra123tnc0kpwe9ahmk6xdtj6s9hf6yuaa0e39p590,27,18.0
218,25790,terra123vq9ntsw0x9hfgw87h3zgatqf00r50vjvw8l6,17,8.0
219,25977,terra12455shyfqy049cnhe6y6jdf55zcn2ck8pja99p,29,88.0
220,26009,terra1246ajmaqhsx2wqayrekuyeayupvn868tajjk09,8,9.0
221,26077,terra1249rex29qagcwss2vh4cyzc6ye5yxm9qjsh3km,23,340.0
222,26295,terra124kx27fy2vvepa2nqnfkqkhqesm9skhg0aqx52,10,348.0
223,26322,terra124m5y7f6t5k92yrga4rkurgeejm8adw0amwxxg,21,8.0
224,26654,terra1252u8yqheu83n4xcdtvt6vt34q68uh2us385de,29,70.0
225,26771,terra1259c2xgdfk55kp75eahgc2ck9kn3cvve884ake,25,102.42999999999999
226,27010,terra125l8rr7g89ksznlhf08jmkxsfm03jm3kz33fhh,16,71.0
227,27071,terra125p40t9p6rgz77rdek8ll6cmltk9vl9sdpc5h2,3,71.44
228,27074,terra125p6l8rcuncs2jwkyvapgpfcgnf0vmg80hnxgz,25,20.0
229,27099,terra125q586q862rmy45n5k2t3cfk462fu7kesxvlr6,27,28.0
230,27225,terra125vhmgxttdctas6rcqzerkpm8grsq6h5j2haxn,5,605.0
231,27286,terra125xx96nd90w9rxr509qmmruzx4jlhnj2rxxhmw,16,10.0
232,27340,terra12606x2pvllgmdnq2tzsals35ah5nywzws0y6l0,2,6000.0
233,27463,terra12668fgtdsqvvg2z74q92rn8z3hfcvmwvv0nnnu,19,8.0
234,28155,terra12750enyr7yw3xdam8f3d2jmpx9mc22w4hyjzrj,2,186.49
235,28299,terra127aluafgyezjf4kmjzxa776qj0g6uqa5nz3n5s,6,8.0
